"OWNER","ADDRESS","City","State","Zip","TOTL_SQFT","D_CLASS_CN","TOTAL_VALUE","cst_sqft","AUTO_UNIQUE_ID_2014-04-22_sebrenner_denOffice_short","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","CensusYear","CensusPlaceFips","CensusMsaFips","CensusMetDivFips","CensusMcdFips","CensusCbsaMicro","CensusCbsaFips","CensusBlock","CensusBlockGroup","CensusTract","CensusCountyFips","CensusStateFips","naaccrCertCode","naaccrCertType","MNumber","MNumberFractional","MPreDirectional","MName","MSuffix","MPostDirectional","MSuiteType","MSuiteNumber","MPostOfficeBoxType","MPostOfficeBoxNumber","MCity","MState","MZip","MZipPlus1","MZipPlus2","MZipPlus3","MZipPlus4","MZipPlus5","MPreQualifier","MPostQualifier","MConsolidatedCity","MMinorCivilDivision","MCountySubRegion","MCounty","MPreType","MPreArticle","MPostArticle","PPostArticle","PPreArticle","PPreType","PNumber","PNumberFractional","PPreDirectional","PName","PSuffix","PPostDirectional","PSuiteType","PSuiteNumber","PPostOfficeBoxType","PPostOfficeBoxNumber","PCity","PState","PZip","PZipPlus1","PZipPlus2","PZipPlus3","PZipPlus4","PZipPlus5","PPreQualifier","PPostQualifier","PConsolidatedCity","PMinorCivilDivision","PCountySubRegion","PCounty","FNumber","FNumberFractional","FPreDirectional","FName","FSuffix","FPostDirectional","FSuiteType","FSuiteNumber","FCity","FState","FZip","FZipPlus1","FZipPlus2","FZipPlus3","FZipPlus4","FZipPlus5","FPreQualifier","FPostQualifier","FConsolidatedCity","FMinorCivilDivision","FCountySubRegion","FCounty","FArea","FAreaType","FGeometry","FSource","FVintage","FPrimaryIdValue","FPostOfficeBoxNumber","FPrimaryIdField","FGeometrySRID","FPostOfficeBoxType","FPreType","FPreArticle","FPostArticle"
"SBC 1800 GLENARM LLC","1800  GLENARM PL","Denver","CO","80123","1","OFFICE CONDO","1200","1,200.00",1,"USCGeocoder",203,1,"4.01","","90dda6d2-a492-43e8-bc15-119e9dad427f","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","389.268200308084","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.745700529714,-104.98764510138,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1021","1","0017.02","031","08","1","ResidenceStreetAddress","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1800","","","","PL","","","","","","Denver","CO","80123","","","","","","","","","","","","1800","","","","Pl","","","","Denver","CO","80202","","","","3828","","","","","","","",389.268200308084,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","753291","","UniqueId",0,"","","",""
"HELEN G BONFILS FOUNDATION","1020  15TH ST","Denver","CO","80123","1","OFFICE CONDO","1500","1,500.00",2,"USCGeocoder",343,1,"4.01","","601d96ea-a243-4716-8b08-069b03563f56","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","4810.51539966464","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.746337418885,-104.996778837639,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","2002","2","0017.02","031","08","1","ResidenceStreetAddress","1020","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1020","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1020","","","","St","","","","Denver","CO","80202","","","","2300","","","","","","","",4810.51539966464,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","713032","","UniqueId",0,"","","",""
"THOMAS,GARY B","1020  15TH ST","Denver","CO","80123","5","OFFICE CONDO","22600","4,520.00",3,"USCGeocoder",187,1,"4.01","","0dea46b1-9ba6-4478-8fa8-d344e2b0af9e","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","4810.51539966464","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.746337418885,-104.996778837639,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","2002","2","0017.02","031","08","1","ResidenceStreetAddress","1020","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1020","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1020","","","","St","","","","Denver","CO","80202","","","","2300","","","","","","","",4810.51539966464,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","713032","","UniqueId",0,"","","",""
"ALTA RIVERFRONT LLC","1700  BASSETT ST","Denver","CO","80123","18","OFFICE CONDO","189100","10,505.56",4,"USCGeocoder",281,1,"4.01","","029911fd-3ebc-4c26-bcfc-308d7c1ed4bf","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","5748.32428067923","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7564605260521,-105.003144706815,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1007","1","0017.01","031","08","1","ResidenceStreetAddress","1700","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1700","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1700","","","","St","","","","Denver","CO","80202","","","","1913","","","","","","","",5748.32428067923,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735572","","UniqueId",0,"","","",""
"EQUITABLE BUILDING CONDOMINIUM ASSOCIATION INC","730  17TH ST","Denver","CO","80123","20","OFFICE CONDO","15400","770",5,"USCGeocoder",234,1,"4.01","","b7ce5fac-531a-4ff1-9160-7ea0e334eefd","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"WESTSIDE LINE LLC","1777  LARIMER ST","Denver","CO","80123","24","OFFICE CONDO","348700","14,529.17",6,"USCGeocoder",250,1,"4.01","","4089087a-6e7b-45cf-998c-e4b345761562","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","4637.34946784377","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7507894166832,-104.995859827047,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","4007","4","0017.01","031","08","1","ResidenceStreetAddress","1777","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1777","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1777","","","","St","","","","Denver","CO","80202","","","","1592","","","","","","","",4637.34946784377,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","757457","","UniqueId",0,"","","",""
"INFINITY OIL AND GAS INC","730  17TH ST","Denver","CO","80123","30","OFFICE CONDO","48400","1,613.33",7,"USCGeocoder",16,1,"4.01","","5a22a739-62d3-4044-83a4-eb0ee6f475d0","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"WEINMAN,JEFFREY A AND KAREN S","730  17TH ST","Denver","CO","80123","33","OFFICE CONDO","49300","1,493.94",8,"USCGeocoder",16,1,"4.01","","33c2cdac-5504-40e8-9696-1d80777485e7","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"WESTSIDE LINE LLC","1777  LARIMER ST","Denver","CO","80123","34","OFFICE CONDO","361600","10,635.29",9,"USCGeocoder",31,1,"4.01","","ad9bcaf2-a2a1-4a88-bb19-cb3a525302ba","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","4637.34946784377","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7507894166832,-104.995859827047,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","4007","4","0017.01","031","08","1","ResidenceStreetAddress","1777","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1777","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1777","","","","St","","","","Denver","CO","80202","","","","1592","","","","","","","",4637.34946784377,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","757457","","UniqueId",0,"","","",""
"INFINITY OIL AND GAS INC","730  17TH ST","Denver","CO","80123","35","OFFICE CONDO","53200","1,520.00",10,"USCGeocoder",16,1,"4.01","","3c9240b9-e9fc-4d12-9336-f4bf77183d5a","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"EQUITABLE BUILDING CONDOMINIUM ASSOCIATION INC","730  17TH ST","Denver","CO","80123","35","OFFICE CONDO","6400","182.86",11,"USCGeocoder",16,1,"4.01","","d71080d7-85d9-496b-8abf-24cc26961dc4","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"DENVER EARTH RESOURCES LIBRARY","730  17TH ST","Denver","CO","80123","53","OFFICE CONDO","26500","500",12,"USCGeocoder",16,1,"4.01","","1b5f636c-a6bb-4cda-b8a5-025a943999d7","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"KELLEY,JEFFREY R","730  17TH ST","Denver","CO","80123","60","OFFICE CONDO","70400","1,173.33",13,"USCGeocoder",16,1,"4.01","","a6c1fda1-bbf2-4fc2-bb46-9ad3a762e671","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"BOULEVARD INVESTORS LLC","730  17TH ST","Denver","CO","80123","63","OFFICE CONDO","70600","1,120.63",14,"USCGeocoder",16,1,"4.01","","abd8df95-2c4e-4a2c-a352-2c3181fff4c6","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"BOWLER JOHN A III AND LILLIE M","730  17TH ST","Denver","CO","80123","63","OFFICE CONDO","87400","1,387.30",15,"USCGeocoder",0,1,"4.01","","6b374986-20d6-499e-9f0a-aee8120ac848","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"KAUFMAN,STEPHEN C","730  17TH ST","Denver","CO","80123","65","OFFICE CONDO","79200","1,218.46",16,"USCGeocoder",0,1,"4.01","","46a0be67-2c45-433c-b1bf-15ea0b984dbf","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"FROST,ROBERT HILDRETH IRREVOCABLE TRUST","730  17TH ST","Denver","CO","80123","68","OFFICE CONDO","87500","1,286.76",17,"USCGeocoder",16,1,"4.01","","1a998d44-fc66-4f82-b9b0-273a474fb3d9","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"EQUITABLE 730 LLC","730  17TH ST","Denver","CO","80123","68","OFFICE CONDO","85900","1,263.24",18,"USCGeocoder",16,1,"4.01","","6e79049e-2114-4be1-9507-acefda13ba24","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"WEDGLE,RICHARD J","730  17TH ST","Denver","CO","80123","70","OFFICE CONDO","79200","1,131.43",19,"USCGeocoder",16,1,"4.01","","4a7c50e5-30e1-4e49-9c07-62bf11a8d0de","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"MILTON COMPANY LLC","891  14TH ST","Denver","CO","80123","76","OFFICE CONDO","312400","4,110.53",20,"USCGeocoder",452,1,"4.01","","9d4875a2-9ccc-4564-9c3a-df44a3f060c8","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","3407.73706692457","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7448269175582,-104.995604810318,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","2017","2","0017.02","031","08","1","ResidenceStreetAddress","891","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","891","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","891","","","","St","","","","Denver","CO","80202","","","","3256","","","","","","","",3407.73706692457,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","741580","","UniqueId",0,"","","",""
"9TH FLOOR HOLDINGS LLC","730  17TH ST","Denver","CO","80123","78","OFFICE CONDO","110200","1,412.82",21,"USCGeocoder",31,1,"4.01","","061c19bc-d3b0-457d-826f-91407dccd0d1","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"EQUITABLE BUILDING CONDOMINIUM ASSOCIATION INC","730  17TH ST","Denver","CO","80123","80","OFFICE CONDO","16800","210",22,"USCGeocoder",31,1,"4.01","","b2cc14fd-4541-4935-92ad-499626f2dad6","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"BOWEN,EDMUND FROST IRREVOCABLE TRUST","730  17TH ST","Denver","CO","80123","88","OFFICE CONDO","122500","1,392.05",23,"USCGeocoder",31,1,"4.01","","22bc4355-5ee7-46a9-9dc8-5b04cda923e0","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"EQ BUILDING HOLDING LLC","730  17TH ST","Denver","CO","80123","90","OFFICE CONDO","134400","1,493.33",24,"USCGeocoder",16,1,"4.01","","1a0e1d5b-f3e4-4e90-b21b-8605bf1f5a73","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"HISTORIC EQUITY SIX LLC","730  17TH ST","Denver","CO","80123","90","OFFICE CONDO","143400","1,593.33",25,"USCGeocoder",16,1,"4.01","","8ec00cfa-87ac-4857-b669-6b8110192c62","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
"FROST FAMILY PARTNERSHIP EQUITABLE BUILDING LLLP","730  17TH ST","Denver","CO","80123","90","OFFICE CONDO","128400","1,426.67",26,"USCGeocoder",16,1,"4.01","","626071dd-5c06-4c5e-a9de-01a3d562cc3a","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2257.17014819384","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7462965359389,-104.991938876831,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1035","1","0017.02","031","08","1","ResidenceStreetAddress","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","730","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","730","","","","St","","","","Denver","CO","80202","","","","3580","","","","","","","",2257.17014819384,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","735494","","UniqueId",0,"","","",""
