"OWNER","ADDRESS","City","State","Zip","TOTL_SQFT","D_CLASS_CN","TOTAL_VALUE","cst_sqft","AUTO_UNIQUE_ID_2014-04-22_sebrenner_denOffice_short","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","CensusYear","CensusPlaceFips","CensusMsaFips","CensusMetDivFips","CensusMcdFips","CensusCbsaMicro","CensusCbsaFips","CensusBlock","CensusBlockGroup","CensusTract","CensusCountyFips","CensusStateFips","naaccrCertCode","naaccrCertType","MNumber","MNumberFractional","MPreDirectional","MName","MSuffix","MPostDirectional","MSuiteType","MSuiteNumber","MPostOfficeBoxType","MPostOfficeBoxNumber","MCity","MState","MZip","MZipPlus1","MZipPlus2","MZipPlus3","MZipPlus4","MZipPlus5","MPreQualifier","MPostQualifier","MConsolidatedCity","MMinorCivilDivision","MCountySubRegion","MCounty","MPreType","MPreArticle","MPostArticle","PPostArticle","PPreArticle","PPreType","PNumber","PNumberFractional","PPreDirectional","PName","PSuffix","PPostDirectional","PSuiteType","PSuiteNumber","PPostOfficeBoxType","PPostOfficeBoxNumber","PCity","PState","PZip","PZipPlus1","PZipPlus2","PZipPlus3","PZipPlus4","PZipPlus5","PPreQualifier","PPostQualifier","PConsolidatedCity","PMinorCivilDivision","PCountySubRegion","PCounty","FNumber","FNumberFractional","FPreDirectional","FName","FSuffix","FPostDirectional","FSuiteType","FSuiteNumber","FCity","FState","FZip","FZipPlus1","FZipPlus2","FZipPlus3","FZipPlus4","FZipPlus5","FPreQualifier","FPostQualifier","FConsolidatedCity","FMinorCivilDivision","FCountySubRegion","FCounty","FArea","FAreaType","FGeometry","FSource","FVintage","FPrimaryIdValue","FPostOfficeBoxNumber","FPrimaryIdField","FGeometrySRID","FPostOfficeBoxType","FPreType","FPreArticle","FPostArticle"
"BARNHILL AND CO INC","1840  GRANT ST","Denver","CO","80123","20426","OFFICE W/RESID","2044600","100.1",1777,"USCGeocoder",172,1,"4.01","","8fd82b40-b5d8-4d83-bd23-d1ae34f68803","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1810.09842685083","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7458394912558,-104.983220784951,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","1009","1","0026.01","031","08","1","ResidenceStreetAddress","1840","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1840","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1840","","","","St","","","","Denver","CO","80203","","","","1108","","","","","","","",1810.09842685083,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","569069","","UniqueId",0,"","","",""
"SHERIDAN BROADWAY LLC","4395  BROADWAY","Denver","CO","80123","20495","OFFICE BLDG","382400","18.66",1778,"USCGeocoder",47,1,"4.01","","36d97ac3-21b7-4c72-ad35-08405268cddd","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4373.3249042941","LinearInterpolationAddressRange","StreetSegment","88.0177514792899","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",39.7774954817645,-104.987698946159,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","3066","3","0015.00","031","08","1","ResidenceStreetAddress","4395","","","","","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","4395","","","","","","","","","","Denver","CO","80123","","","","","","","","","","","","4275-4499","","","","","","","","Denver","CO","80216","","","","","","","","","","Denver","Denver",4373.3249042941,"Meters","","SOURCE_CENSUS_TIGERLINES_2010","2010","177303820","","tlid",0,"","","",""
"5390 E EVANS LLC","5390 E EVANS AVE","Denver","CO","80123","20655","OFFICE BLDG","363100","17.58",1779,"USCGeocoder",140,1,"4.01","","79e57f6f-d7f4-4fbb-b95e-4248180caeee","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1889.31708069716","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.678165011661,-104.92551113426,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","4002","4","0069.01","031","08","1","ResidenceStreetAddress","5390","","E","","AVE","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","5390","","E","","AVE","","","","","","Denver","CO","80123","","","","","","","","","","","","5390","","E","","Ave","","","","Denver","CO","80222","","","","5224","","","","","","","",1889.31708069716,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","707544","","UniqueId",0,"","","",""
"CONFLICT CENTER","4122  TEJON ST","Denver","CO","80123","20656","OFFICE BLDG","1450400","70.22",1780,"USCGeocoder",156,1,"4.01","","e661b663-e7f2-4585-9933-3773eb37d254","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1879.29674980459","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7735582968741,-105.010881649931,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","4017","4","0011.01","031","08","1","ResidenceStreetAddress","4122","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","4122","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","4122","","","","St","","","","Denver","CO","80211","","","","1813","","","","","","","",1879.29674980459,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","626967","","UniqueId",0,"","","",""
"WEWATTA AND WYNKOOP PT LLC","1401  WYNKOOP ST","Denver","CO","80123","20680","OFFICE BLDG","26512100","1,282.02",1781,"USCGeocoder",140,1,"4.01","","be61b176-ebd3-46a9-8534-4a59b85ad036","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","6582.11239883304","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7507223415096,-105.003358365757,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","2009","2","0017.01","031","08","1","ResidenceStreetAddress","1401","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1401","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","1401","","","","St","","","","Denver","CO","80202","","","","1729","","","","","","","",6582.11239883304,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","762063","","UniqueId",0,"","","",""
"COLORADO HEARING SOCIETY","4280 E HALE PKWY","Denver","CO","80123","20700","OFFICE BLDG","858400","41.47",1782,"USCGeocoder",140,1,"4.01","","2548b322-ae6b-47a2-9f2e-fb1d16167b9c","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1920.42447596788","ArealInterpolationGeometricCentroid","Parcel","93.6686390532544","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7335801042003,-104.937627497553,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","2003","2","0043.01","031","08","1","ResidenceStreetAddress","4280","","E","","PKWY","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","4280","","E","","PKWY","","","","","","Denver","CO","80123","","","","","","","","","","","","4280","","","","Pkwy","","","","Denver","CO","80220","","","","3724","","","","","","","",1920.42447596788,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","637376","","UniqueId",0,"","","",""
"ARCHITAXI LLC","3457  RINGSBY CT","Denver","CO","80123","20756","OFFICE CONDO","1983800","95.58",1783,"USCGeocoder",16,1,"4.01","","051a91de-613d-40d5-8922-f01753fc9b5b","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","76474.4750931216","LinearInterpolationAddressRange","StreetSegment","88.0177514792899","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",39.7722025533654,-104.981534145604,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","3082","3","0015.00","031","08","1","ResidenceStreetAddress","3457","","","","CT","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","3457","","","","CT","","","","","","Denver","CO","80123","","","","","","","","","","","","3101-3799","","","","Ct","","","","Denver","CO","80216","","","","","","","","","","Denver","Denver",76474.4750931216,"Meters","","SOURCE_CENSUS_TIGERLINES_2010","2010","177304909","","tlid",0,"","","",""
"MENTAL HEALTH CORP OF DENVER","1405  FEDERAL BLVD","Denver","CO","80123","20812","OFFICE BLDG","792700","38.09",1784,"USCGeocoder",203,1,"4.01","","247749bf-d40c-4bba-b052-752e601b77ed","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1920.90029609203","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7383229233101,-105.025661077322,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","2013","2","0007.02","031","08","1","ResidenceStreetAddress","1405","","","","BLVD","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","1405","","","","BLVD","","","","","","Denver","CO","80123","","","","","","","","","","","","1405","","","","Blvd","","","","Denver","CO","80204","","","","2211","","","","","","","",1920.90029609203,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","596332","","UniqueId",0,"","","",""
"HEIMBECHER,JAMES F","245  COLUMBINE ST","Denver","CO","80123","20837","OFFICE BLDG","2293100","110.05",1785,"USCGeocoder",203,1,"4.01","","060560fe-b68f-4a05-a705-8c32deeac66a","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1965.63387446431","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7203842825577,-104.957402803105,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","5032","5","0038.00","031","08","1","ResidenceStreetAddress","245","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","245","","","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","245","","","","St","","","","Denver","CO","80206","","","","4707","","","","","","","",1965.63387446431,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","576979","","UniqueId",0,"","","",""
"CLARK,WARREN TRUST","701 S LOGAN ST","Denver","CO","80123","20842","OFFICE BLDG","471500","22.62",1786,"USCGeocoder",187,1,"4.01","","50e98d73-08b6-45b1-90ed-d27552957f77","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1916.34252129495","ArealInterpolationGeometricCentroid","Parcel","97.810650887574","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",39.7036117895784,-104.983223318395,"Relaxed","TwoThousandTen","20000","2082","","91007","0","19740","3002","3","0029.01","031","08","1","ResidenceStreetAddress","701","","S","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","","","","","","","701","","S","","ST","","","","","","Denver","CO","80123","","","","","","","","","","","","701","","S","","St","","","","Denver","CO","80209","","","","4199","","","","","","","",1916.34252129495,"Meters","","SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS","2012","600062","","UniqueId",0,"","","",""
